policy_name,number_samples,average,standard_deviation
optimal_dp,1,7.188200000000537,0
optimal_dp,5,7.188200000000537,0
optimal_dp,10,7.188200000000537,0
optimal_dp,50,7.188200000000537,0
optimal_dp,100,7.188200000000537,0
optimal_dp,500,7.188200000000537,0
myopic,1,6.545150000000782,0
myopic,5,6.545150000000782,0
myopic,10,6.545150000000782,0
myopic,50,6.545150000000782,0
myopic,100,6.545150000000782,0
myopic,500,6.545150000000782,0
balance,1,6.620600000000784,0
balance,5,6.620600000000784,0
balance,10,6.620600000000784,0
balance,50,6.620600000000784,0
balance,100,6.620600000000784,0
balance,500,6.620600000000784,0
iid_dp,1,7.073718000000555,0.10825343909546023
iid_dp,5,7.140944000000578,0.06122531064841967
iid_dp,10,7.1601900000005685,0.046725419206214605
iid_dp,50,7.166024000000579,0.012484879815172495
iid_dp,100,7.162088000000588,0.008872691587091095
iid_dp,500,7.158388000000598,0.0015923115273037828
indep_dp,1,7.068108000000503,0.1042614057836777
indep_dp,5,7.136184000000534,0.046893424315161476
indep_dp,10,7.155217000000497,0.03258403690465879
indep_dp,50,7.176746000000512,0.024240738107609076
indep_dp,100,7.18400000000053,0.00910103840227134
indep_dp,500,7.187538000000524,0.0008428261979886737
