policy_name,number_samples,average,standard_deviation
myopic,1,6.545150000000782,0
myopic,10,6.545150000000782,0
myopic,50,6.545150000000782,0
myopic,100,6.545150000000782,0
myopic,500,6.545150000000782,0
myopic,1000,6.545150000000782,0
myopic,5000,6.545150000000782,0
balance,1,6.620600000000784,0
balance,10,6.620600000000784,0
balance,50,6.620600000000784,0
balance,100,6.620600000000784,0
balance,500,6.620600000000784,0
balance,1000,6.620600000000784,0
balance,5000,6.620600000000784,0
iid_dp,1,7.072025000000562,0.10976606203645851
iid_dp,10,7.160005000000578,0.015544306835620275
iid_dp,50,7.16576000000058,0.012741444188127933
iid_dp,100,7.1615750000005916,0.009042503801473364
iid_dp,500,7.1582900000006,0.0014699999999955083
iid_dp,1000,7.1578000000006,8.881784197001252e-16
iid_dp,5000,7.1578000000006,8.881784197001252e-16
indep_dp,1,7.095925000000503,0.07967838398832514
indep_dp,10,7.130082500000498,0.0616477559912827
indep_dp,50,7.169562500000508,0.030986819274545656
indep_dp,100,7.185805000000523,0.006506110589267885
indep_dp,500,7.187650000000529,0.0010641898326922553
indep_dp,1000,7.1878750000005285,0.0005629165124743415
indep_dp,5000,7.18755000000052,0.0006500000000166928
markov_dp,1,6.919570000000694,0.1722401429689907
markov_dp,10,7.062865000000646,0.09546891261029179
markov_dp,50,7.100432500000629,0.08683627449829524
markov_dp,100,7.1137075000006265,0.06880909691854657
markov_dp,500,7.140130000000615,0.00405377601748938
markov_dp,1000,7.139200000000615,0.0
markov_dp,5000,7.139200000000615,0.0
optimal_dp,1,7.188200000000537,0
optimal_dp,10,7.188200000000537,0
optimal_dp,50,7.188200000000537,0
optimal_dp,100,7.188200000000537,0
optimal_dp,500,7.188200000000537,0
optimal_dp,1000,7.188200000000537,0
optimal_dp,5000,7.188200000000537,0
