policy_name,number_samples,average,standard_deviation
myopic,1,3.1648000000004397,0
myopic,10,3.1648000000004397,0
myopic,50,3.1648000000004397,0
myopic,100,3.1648000000004397,0
myopic,500,3.1648000000004397,0
myopic,1000,3.1648000000004397,0
myopic,5000,3.1648000000004397,0
balance,1,3.1648000000004397,0
balance,10,3.1648000000004397,0
balance,50,3.1648000000004397,0
balance,100,3.1648000000004397,0
balance,500,3.1648000000004397,0
balance,1000,3.1648000000004397,0
balance,5000,3.1648000000004397,0
iid_dp,1,3.232240000000413,0.05470182720896769
iid_dp,10,3.3354250000004733,0.023407709734186263
iid_dp,50,3.346050000000477,8.881784197001252e-16
iid_dp,100,3.346050000000477,8.881784197001252e-16
iid_dp,500,3.346050000000477,8.881784197001252e-16
iid_dp,1000,3.346050000000477,8.881784197001252e-16
iid_dp,5000,3.346050000000477,8.881784197001252e-16
indep_dp,1,3.248322500000422,0.06016591534041434
indep_dp,10,3.3121825000004153,0.04090353369521719
indep_dp,50,3.337230000000459,0.016024343980364484
indep_dp,100,3.3344600000004547,0.02590129147364295
indep_dp,500,3.346050000000477,8.881784197001252e-16
indep_dp,1000,3.346050000000477,8.881784197001252e-16
indep_dp,5000,3.346050000000477,8.881784197001252e-16
markov_dp,1,3.2584700000004325,0.0693820354991224
markov_dp,10,3.332965000000455,0.024212233994453766
markov_dp,50,3.346050000000477,8.881784197001252e-16
markov_dp,100,3.346050000000477,8.881784197001252e-16
markov_dp,500,3.346050000000477,8.881784197001252e-16
markov_dp,1000,3.346050000000477,8.881784197001252e-16
markov_dp,5000,3.346050000000477,8.881784197001252e-16
thresholds,1,3.1997875000004385,0.046944821000285755
thresholds,10,3.290485000000435,0.05170295712047189
thresholds,50,3.327635000000459,0.02158314214846941
thresholds,100,3.338830000000466,0.018573007295567826
thresholds,500,3.346050000000477,8.881784197001252e-16
thresholds,1000,3.346050000000477,8.881784197001252e-16
thresholds,5000,3.346050000000477,8.881784197001252e-16
optimal_dp,1,3.346050000000478,0
optimal_dp,10,3.346050000000478,0
optimal_dp,50,3.346050000000478,0
optimal_dp,100,3.346050000000478,0
optimal_dp,500,3.346050000000478,0
optimal_dp,1000,3.346050000000478,0
optimal_dp,5000,3.346050000000478,0
