policy_name,number_samples,average,standard_deviation
myopic,1,6.145750000000099,0
myopic,10,6.145750000000099,0
myopic,50,6.145750000000099,0
myopic,100,6.145750000000099,0
myopic,500,6.145750000000099,0
myopic,1000,6.145750000000099,0
myopic,5000,6.145750000000099,0
balance,1,6.1308000000001,0
balance,10,6.1308000000001,0
balance,50,6.1308000000001,0
balance,100,6.1308000000001,0
balance,500,6.1308000000001,0
balance,1000,6.1308000000001,0
balance,5000,6.1308000000001,0
iid_dp,1,6.013645000000084,0.19602099753599933
iid_dp,10,6.082212500000077,0.05720143983109686
iid_dp,50,6.09625000000008,0.019673757902347645
iid_dp,100,6.093922500000081,0.015203021698008018
iid_dp,500,6.094912500000085,0.005894613536950643
iid_dp,1000,6.095145000000086,0.0028114898185831834
iid_dp,5000,6.094500000000086,8.881784197001252e-16
indep_dp,1,5.992027500000067,0.19507424258154016
indep_dp,10,6.064990000000078,0.07783659261555782
indep_dp,50,6.1010550000000805,0.017207548488969826
indep_dp,100,6.100737500000081,0.019547658907144
indep_dp,500,6.099972500000085,0.007046656565348267
indep_dp,1000,6.098197500000085,0.006677321225608971
indep_dp,5000,6.095790000000086,0.00386999999999924
markov_dp,1,6.03678750000009,0.1619250504670406
markov_dp,10,6.120232500000096,0.04694478745026223
markov_dp,50,6.144520000000099,0.003097272994105832
markov_dp,100,6.1455250000001005,0.0002249999999999197
markov_dp,500,6.1455025000001005,0.00022387217334890962
markov_dp,1000,6.145660000000101,0.00017999999999993577
markov_dp,5000,6.145705000000101,0.00013499999999995184
optimal_dp,1,6.145750000000099,0
optimal_dp,10,6.145750000000099,0
optimal_dp,50,6.145750000000099,0
optimal_dp,100,6.145750000000099,0
optimal_dp,500,6.145750000000099,0
optimal_dp,1000,6.145750000000099,0
optimal_dp,5000,6.145750000000099,0
