policy_name,number_samples,average,standard_deviation
myopic,1,7.78719000000074,0
myopic,10,7.78719000000074,0
myopic,50,7.78719000000074,0
myopic,100,7.78719000000074,0
myopic,500,7.78719000000074,0
myopic,1000,7.78719000000074,0
myopic,5000,7.78719000000074,0
balance,1,8.938119999999063,0
balance,10,8.938119999999063,0
balance,50,8.938119999999063,0
balance,100,8.938119999999063,0
balance,500,8.938119999999063,0
balance,1000,8.938119999999063,0
balance,5000,8.938119999999063,0
iid_dp,1,8.865527999998811,0.16679799814707008
iid_dp,10,8.986263499998703,0.028870631491932634
iid_dp,50,8.994331999998689,0.013011694970210838
iid_dp,100,8.997899999998673,1.7763568394002505e-15
iid_dp,500,8.997899999998673,1.7763568394002505e-15
iid_dp,1000,8.997899999998673,1.7763568394002505e-15
iid_dp,5000,8.997899999998673,1.7763568394002505e-15
indep_dp,1,8.991398999998625,0.10830778244847268
indep_dp,10,9.014283499998488,0.06091967402011642
indep_dp,50,9.058304999998374,0.009321593479537198
indep_dp,100,9.061341999998346,0.0038645822541585793
indep_dp,500,9.062549999998353,0.0034539368840693363
indep_dp,1000,9.065023499998237,0.0030424271149251093
indep_dp,5000,9.066779999998202,0.0
markov_dp,1,8.79618899999922,0.23099217010268958
markov_dp,10,8.952089499998884,0.04505414614367064
markov_dp,50,8.97225749999877,0.03729811722780703
markov_dp,100,8.961057999998793,0.04116870141246369
markov_dp,500,8.985894499998706,0.008809628525060386
markov_dp,1000,8.988664999998699,0.009234999999973681
markov_dp,5000,8.993282499998687,0.007997744603926498
optimal_dp,1,9.066779999998202,0
optimal_dp,10,9.066779999998202,0
optimal_dp,50,9.066779999998202,0
optimal_dp,100,9.066779999998202,0
optimal_dp,500,9.066779999998202,0
optimal_dp,1000,9.066779999998202,0
optimal_dp,5000,9.066779999998202,0
