policy_name,number_samples,average,standard_deviation
optimal_dp,1,8.773909999998725,0
optimal_dp,5,8.773909999998725,0
optimal_dp,10,8.773909999998725,0
optimal_dp,50,8.773909999998725,0
optimal_dp,100,8.773909999998725,0
optimal_dp,500,8.773909999998725,0
myopic,1,7.925810000000669,0
myopic,5,7.925810000000669,0
myopic,10,7.925810000000669,0
myopic,50,7.925810000000669,0
myopic,100,7.925810000000669,0
myopic,500,7.925810000000669,0
balance,1,8.773909999998725,0
balance,5,8.773909999998725,0
balance,10,8.773909999998725,0
balance,50,8.773909999998725,0
balance,100,8.773909999998725,0
balance,500,8.773909999998725,0
iid_dp,1,8.491866799999224,0.4190710406571189
iid_dp,5,8.726071899998875,0.13243481156911452
iid_dp,10,8.76897149999876,0.02152642243252812
iid_dp,50,8.773909999998724,1.7763568394002505e-15
iid_dp,100,8.773909999998724,1.7763568394002505e-15
iid_dp,500,8.773909999998724,1.7763568394002505e-15
indep_dp,1,8.491866799999224,0.4190710406571189
indep_dp,5,8.70139709999904,0.13046486859130058
indep_dp,10,8.738352799998967,0.04740959999967515
indep_dp,50,8.75415599999886,0.039507999999729294
indep_dp,100,8.769959199998752,0.019354888151442942
indep_dp,500,8.773909999998724,1.7763568394002505e-15
off_sp_rejections,1,7.925810000000666,2.6645352591003757e-15
off_sp_rejections,5,7.925810000000666,2.6645352591003757e-15
off_sp_rejections,10,7.925810000000666,2.6645352591003757e-15
off_sp_rejections,50,7.925810000000666,2.6645352591003757e-15
off_sp_rejections,100,7.925810000000666,2.6645352591003757e-15
off_sp_rejections,500,6.249099999999711,1.7763568394002505e-15
off_sp_no_rejections,1,7.925810000000666,2.6645352591003757e-15
off_sp_no_rejections,5,7.925810000000666,2.6645352591003757e-15
off_sp_no_rejections,10,7.925810000000666,2.6645352591003757e-15
off_sp_no_rejections,50,7.925810000000666,2.6645352591003757e-15
off_sp_no_rejections,100,7.925810000000666,2.6645352591003757e-15
off_sp_no_rejections,500,6.249099999999711,1.7763568394002505e-15
