policy_name,number_samples,average,standard_deviation
optimal_dp,1,7.664400000000002,0
optimal_dp,10,7.664400000000002,0
optimal_dp,50,7.664400000000002,0
optimal_dp,100,7.664400000000002,0
optimal_dp,500,7.664400000000002,0
myopic,1,7.591900000000004,0
myopic,10,7.591900000000004,0
myopic,50,7.591900000000004,0
myopic,100,7.591900000000004,0
myopic,500,7.591900000000004,0
balance,1,7.708200000000005,0
balance,10,7.708200000000005,0
balance,50,7.708200000000005,0
balance,100,7.708200000000005,0
balance,500,7.708200000000005,0
iid_dp,1,7.604706666666672,0.033462366257567044
iid_dp,10,7.699546666666674,0.010344974088361512
iid_dp,50,7.7038200000000066,0.009603207797397376
iid_dp,100,7.7043866666666725,0.004502720165509248
iid_dp,500,7.7055400000000045,0.003399960784086778
indep_dp,1,7.568633333333336,0.09094737428254233
indep_dp,10,7.689460000000007,0.012857775857432998
indep_dp,50,7.702493333333339,0.009410594502414762
indep_dp,100,7.704146666666673,0.003325430632096075
indep_dp,500,7.705566666666672,0.0031657893521550035
depletion_learned,1,7.645866666666674,0.05303993045076714
depletion_learned,10,7.649980000000007,0.04545796886502213
depletion_learned,50,7.683133333333339,0.0188823962697767
depletion_learned,100,7.690146666666672,0.02343706086996071
depletion_learned,500,7.704306666666672,0.004362028070621126
