policy_name,number_samples,average,standard_deviation
optimal_dp,1,7.664400000000002,0
optimal_dp,10,7.664400000000002,0
optimal_dp,50,7.664400000000002,0
myopic,1,7.591900000000004,0
myopic,10,7.591900000000004,0
myopic,50,7.591900000000004,0
balance,1,7.708200000000005,0
balance,10,7.708200000000005,0
balance,50,7.708200000000005,0
iid_dp,1,7.603540000000004,0.028698090528813607
iid_dp,10,7.698960000000005,0.011127551392826144
iid_dp,50,7.707700000000005,0.0015000000000005007
indep_dp,1,7.588030000000003,0.04708252435882918
indep_dp,10,7.688670000000005,0.017769414734311578
indep_dp,50,7.705060000000005,0.004999839997439929
depletion_learned,1,7.561940000000004,0.09381748451115164
depletion_learned,10,7.596090000000004,0.10077186561734668
depletion_learned,50,7.707200000000005,0.002000000000000668
