supply_node,demand_node,reward
0,0,0.5475861559192435
0,1,0.8192869956700687
1,1,0.1989475396788123
1,2,0.8568503024577332
2,2,0.3516526394320879
2,3,0.7546476915298572
3,3,0.2959617068796787
3,4,0.8839364795611863
4,4,0.3255116378322488
4,5,0.16501589771914849
5,5,0.3925292439465873
5,6,0.0934603745586503
6,6,0.8211056578369285
6,7,0.15115201964256386
7,7,0.3841144486921996
7,8,0.9442607122388011
8,8,0.9876254749018722
8,9,0.4563045470947841
9,9,0.8261228438427398
9,0,0.25137413420705934
