graph_name,demand_model,weight_mode,total_inventory,train_greedy_performance,train_lp_performance,train_lp_benchmark,test_greedy_performance,test_lp_performance,test_lp_benchmark,l1_norm
complete,deter,uniform,6,5.274231858979953,5.274231858979953,5.274231858979953,5.2718757700776715,5.2718757700776715,5.2718757700776715,0
complete,deter,uniform,7,6.08490690324662,6.0963900711245165,6.0963900711245165,6.0805892099456935,6.0912040905017815,6.0912040905017815,2
complete,deter,uniform,8,6.866277807088732,6.887581540789621,6.887581540789621,6.861707336282104,6.878548310010033,6.878548310010033,2
complete,deter,uniform,9,7.643062598790725,7.643062598790725,7.643062598790725,7.633664223572068,7.633664223572068,7.633664223572068,0
complete,deter,uniform,10,8.360552494404816,8.360552494404816,8.360552494404816,8.348844545992607,8.348844545992607,8.348844545992607,0
complete,deter,uniform,11,8.459018919419414,8.459018919419414,8.459018919419414,8.444349958604072,8.444349958604072,8.444349958604072,0
complete,deter,uniform,12,8.50882510930743,8.50882510930743,8.50882510930743,8.494771941730576,8.494771941730576,8.494771941730576,0
complete,deter,rewardbased,6,5.315845070649198,5.315845070649198,5.315845070649198,5.310762929281568,5.310762929281568,5.310762929281568,0
complete,deter,rewardbased,7,6.111383195992926,6.14651441380794,6.14651441380794,6.108516694399107,6.141822778804461,6.141822778804461,2
complete,deter,rewardbased,8,6.927883499734255,6.937985653166103,6.937985653166103,6.924488751613055,6.932050111925059,6.932050111925059,2
complete,deter,rewardbased,9,7.705815982709988,7.705815982709988,7.705815982709988,7.700230809074147,7.700230809074147,7.700230809074147,0
complete,deter,rewardbased,10,8.432060063983426,8.43235409858708,8.43235409858708,8.425442331822548,8.422421364715072,8.425442331822548,2
complete,deter,rewardbased,11,8.521194643677983,8.521194643677983,8.521194643677983,8.514309645224678,8.514309645224678,8.514309645224678,0
complete,deter,rewardbased,12,8.572856576356935,8.572856576356935,8.572856576356935,8.565441314615638,8.565441314615638,8.565441314615638,0
complete,indep,uniform,6,5.034237854992044,5.034237854992044,5.034237854992044,5.054741326623167,5.054741326623167,5.054741326623167,0
complete,indep,uniform,7,5.68744958120628,5.68744958120628,5.68744958120628,5.708835320027445,5.708835320027445,5.708835320027445,0
complete,indep,uniform,8,6.250665369669891,6.250665369669891,6.250665369669891,6.265411614627174,6.265411614627174,6.265411614627174,0
complete,indep,uniform,9,6.688914418996544,6.688914418996544,6.688914418996544,6.709106160475507,6.709106160475507,6.709106160475507,0
complete,indep,uniform,10,7.018865907455025,7.018865907455025,7.018865907455025,7.050212196304153,7.050212196304153,7.050212196304153,0
complete,indep,uniform,11,7.260221256609037,7.260221256609037,7.260221256609037,7.297890455278373,7.297890455278373,7.297890455278373,0
complete,indep,uniform,12,7.423102478414104,7.423102478414104,7.423102478414104,7.467592257425205,7.467592257425205,7.467592257425205,0
complete,indep,rewardbased,6,5.085266920577039,5.085266920577039,5.085266920577039,5.093149022193071,5.093149022193071,5.093149022193071,0
complete,indep,rewardbased,7,5.753742978758212,5.753742978758212,5.753742978758212,5.750588471176755,5.750588471176755,5.750588471176755,0
complete,indep,rewardbased,8,6.312400750170111,6.312400750170111,6.312400750170111,6.304985448870556,6.304985448870556,6.304985448870556,0
complete,indep,rewardbased,9,6.772203707829923,6.772203707829923,6.772203707829923,6.756917480062392,6.756917480062392,6.756917480062392,0
complete,indep,rewardbased,10,7.105445233698743,7.105445233698743,7.105445233698743,7.099680506545372,7.099680506545372,7.099680506545372,0
complete,indep,rewardbased,11,7.3521820909466955,7.3521820909466955,7.3521820909466955,7.346218257681932,7.346218257681932,7.346218257681932,0
complete,indep,rewardbased,12,7.516035462005134,7.516035462005134,7.516035462005134,7.513509475887521,7.513509475887521,7.513509475887521,0
complete,correl,uniform,6,3.9894025871662664,3.9894025871662664,3.9894025871662664,3.9686126369655614,3.9686126369655614,3.9686126369655614,0
complete,correl,uniform,7,4.4560831697446215,4.4560831697446215,4.4560831697446215,4.420186898486829,4.420186898486829,4.420186898486829,0
complete,correl,uniform,8,4.8795515392252975,4.8795515392252975,4.8795515392252975,4.8258968785367165,4.8258968785367165,4.8258968785367165,0
complete,correl,uniform,9,5.266055094603042,5.266055094603042,5.266055094603042,5.196572479487983,5.196572479487983,5.196572479487983,0
complete,correl,uniform,10,5.621482550997696,5.621482550997696,5.621482550997696,5.536310418821104,5.536310418821104,5.536310418821104,0
complete,correl,uniform,11,5.940415893549803,5.940415893549803,5.940415893549803,5.841986637119556,5.841986637119556,5.841986637119556,0
complete,correl,uniform,12,6.228012156007237,6.228012156007237,6.228012156007237,6.1139842072591,6.1139842072591,6.1139842072591,0
complete,correl,rewardbased,6,4.018705232768667,4.018705232768667,4.018705232768667,3.998279686370294,3.998279686370294,3.998279686370294,0
complete,correl,rewardbased,7,4.488493543989057,4.488493543989057,4.488493543989057,4.454040358934449,4.454040358934449,4.454040358934449,0
complete,correl,rewardbased,8,4.9091251476961375,4.910721257132828,4.910721257132828,4.860154576729286,4.854705173191646,4.861332086258608,2
complete,correl,rewardbased,9,5.297649423718884,5.3015737876413676,5.3015737876413676,5.231877709493572,5.230346628539749,5.231877709493572,4
complete,correl,rewardbased,10,5.657546145097496,5.657546145097496,5.657546145097496,5.574392662332468,5.574392662332468,5.574392662332468,0
complete,correl,rewardbased,11,5.983126438571318,5.983126438571318,5.983126438571318,5.885663981359208,5.885663981359208,5.885663981359208,0
complete,correl,rewardbased,12,6.274358155281746,6.274358155281746,6.274358155281746,6.160162161023933,6.160162161023933,6.160162161023933,0
