policy_name,number_samples,average,standard_deviation
myopic,10,10.429104477611942,0
myopic,50,10.429104477611942,0
myopic,100,10.429104477611942,0
myopic,500,10.429104477611942,0
myopic,1000,10.429104477611942,0
myopic,5000,10.429104477611942,0
balance,10,10.044776119402986,0
balance,50,10.044776119402986,0
balance,100,10.044776119402986,0
balance,500,10.044776119402986,0
balance,1000,10.044776119402986,0
balance,5000,10.044776119402986,0
iid_dp,10,10.241977611940301,0.09576910494048965
iid_dp,50,10.299440298507466,0.04754901271251996
iid_dp,100,10.32077114427861,0.05182538970470051
iid_dp,500,10.307338308457716,0.057895170960315656
iid_dp,1000,10.329601990049756,0.04600645225043969
iid_dp,5000,10.351616915422886,0.03656822180079461
indep_dp,10,10.461318407960201,0.038392159962490825
indep_dp,50,10.492226368159205,0.030341312617537086
indep_dp,100,10.51884328358209,0.019663054083702527
indep_dp,500,10.519651741293533,0.014730275466582237
indep_dp,1000,10.513246268656719,0.019047625263208773
indep_dp,5000,10.522823383084578,0.008708910460435624
markov_dp,10,10.430597014925374,0.033023734876171884
markov_dp,50,10.44148009950249,0.010724502036786395
markov_dp,100,10.446517412935325,0.01145359645096695
markov_dp,500,10.447699004975126,0.003033270745835303
markov_dp,1000,10.448009950248757,0.0029590490680027016
markov_dp,5000,10.446517412935325,0.00215429204921506
lp_re_solving,10,10.35740049751244,0.098972683894964
lp_re_solving,50,10.41032338308458,0.0797756384883595
lp_re_solving,100,10.413619402985079,0.07359409223820902
lp_re_solving,500,10.511380597014929,0.022292065483268134
lp_re_solving,1000,10.507960199004978,0.021953352915107315
lp_re_solving,5000,10.502860696517414,0.017938497245412768
filtered_lp_re_solving,10,10.170087064676618,0.08003794160264067
filtered_lp_re_solving,50,10.35671641791045,0.10698802255104102
filtered_lp_re_solving,100,10.384577114427863,0.10042683219655049
filtered_lp_re_solving,500,10.506343283582092,0.025116680264994695
filtered_lp_re_solving,1000,10.507898009950251,0.028491208041603426
filtered_lp_re_solving,5000,10.515111940298508,0.022690995656407958
optimal_dp,10,10.52487562189055,0
optimal_dp,50,10.52487562189055,0
optimal_dp,100,10.52487562189055,0
optimal_dp,500,10.52487562189055,0
optimal_dp,1000,10.52487562189055,0
optimal_dp,5000,10.52487562189055,0
