policy_name,number_samples,average,standard_deviation
myopic,10,8.160600000000102,0
myopic,50,8.160600000000102,0
myopic,100,8.160600000000102,0
myopic,200,8.160600000000102,0
balance,10,8.145675000000061,0
balance,50,8.145675000000061,0
balance,100,8.145675000000061,0
balance,200,8.145675000000061,0
iid_dp,10,8.111237500000126,0.04943227469223139
iid_dp,50,8.144257500000112,0.017391571414043554
iid_dp,100,8.151722500000108,0.009077268655819351
iid_dp,200,8.154217500000106,0.0065107320056954875
indep_dp,10,8.10657500000012,0.06402572041764158
indep_dp,50,8.140557500000115,0.021492760554417706
indep_dp,100,8.151627500000107,0.009547646634114672
indep_dp,200,8.15389750000011,0.008119470810953407
markov_dp,10,8.142275000000113,0.04005362343157402
markov_dp,50,8.158640000000108,0.0215678730986516
markov_dp,100,8.166955000000097,0.0020721908695833817
markov_dp,200,8.167622500000101,0.004415249851366367
neural_net,10,8.160600000000102,0.0
neural_net,50,8.160600000000102,0.0
neural_net,100,8.160600000000102,0.0
neural_net,200,8.160600000000102,0.0
