policy_name,number_samples,average,standard_deviation
myopic,10,8.08582089552238,0
myopic,50,8.08582089552238,0
myopic,100,8.08582089552238,0
myopic,500,8.08582089552238,0
myopic,1000,8.08582089552238,0
myopic,5000,8.08582089552238,0
balance,10,8.093283582089546,0
balance,50,8.093283582089546,0
balance,100,8.093283582089546,0
balance,500,8.093283582089546,0
balance,1000,8.093283582089546,0
balance,5000,8.093283582089546,0
iid_dp,10,8.053731343283575,0.04324818418741959
iid_dp,50,8.07860696517412,0.017038439136485162
iid_dp,100,8.08358208955223,0.014097039287395922
iid_dp,500,8.087686567164173,0.00620022068687287
iid_dp,1000,8.087002487562183,0.005135400284378353
iid_dp,5000,8.087437810945266,0.0015781812861253733
indep_dp,10,8.046455223880589,0.05295685576308812
indep_dp,50,8.076803482587058,0.023228673375815807
indep_dp,100,8.079912935323375,0.014705443273824191
indep_dp,500,8.089179104477607,0.008381460491956146
indep_dp,1000,8.08905472636815,0.0038011708432676206
indep_dp,5000,8.086442786069643,0.003594075441990148
markov_dp,10,8.073880597014917,0.030923409754740915
markov_dp,50,8.091666666666658,0.01924487499913496
markov_dp,100,8.094340796019894,0.013016839162395148
markov_dp,500,8.103544776119396,0.0028600204695437953
markov_dp,1000,8.103420398009943,0.001937865230209093
markov_dp,5000,8.102985074626861,0.0017412935323380602
lp_re_solving,10,8.046019900497507,0.08257057918542225
lp_re_solving,50,8.086691542288552,0.01926897528616884
lp_re_solving,100,8.086753731343277,0.010567565589531184
lp_re_solving,500,8.094029850746262,0.006111004227133308
lp_re_solving,1000,8.092786069651734,0.005384293736794509
lp_re_solving,5000,8.092599502487555,0.0018646348694730086
filtered_lp_re_solving,10,7.071890547263671,0.3618410388589705
filtered_lp_re_solving,50,7.924937810945265,0.06591250656792226
filtered_lp_re_solving,100,8.032338308457703,0.032261677287310435
filtered_lp_re_solving,500,8.093532338308451,0.010306135565107948
filtered_lp_re_solving,1000,8.096455223880588,0.010593883112298546
filtered_lp_re_solving,5000,8.09266169154228,0.006986242124369926
